source_csv,total_score,final_rank,and_count_weighted_score,and_count_weighted_rank,lev_count_weighted_score,lev_count_weighted_rank,runtime_sec_weighted_score,runtime_sec_weighted_rank,extra_peak_rss_mb_weighted_score,extra_peak_rss_mb_weighted_rank
rh-sopfx-if-a.csv,227.7,1,130,1,52,6,30.4,10,15.3,9
6-19.csv,225.2,2,128.5,2,50.8,9,30.4,10,15.5,8
6-19-jj.csv,225.1,3,128.5,2,50.8,9,30.6,8,15.2,10
if.csv,222.7,4,92,12,55.4,2,49,3,26.3,2
sopfx.csv,222.3,5,125,4,51.6,7,30.6,8,15.1,11
test1.csv,215.8,6,99.5,10,51.4,8,42.4,4,22.5,3
if-area.csv,213,7,104.5,8,55.2,3,32.2,6,21.1,4
ifn.csv,212.1,8,110.5,6,53.6,5,30,12,18,5
if-area-a.csv,208.6,9,106.5,7,54.4,4,32,7,15.7,6
test.csv,208,10,82,13,38.8,13,57.2,1,30,1
syn-R.csv,206.6,11,103,9,55.6,1,32.4,5,15.6,7
9zhistar.csv,206.5,12,116.5,5,45,11,30,12,15,12
if_sop_fx.csv,203.6,13,96,11,39.8,12,52.8,2,15,12
